country,points,price,value
Canada,92,30.0,3.066666666666667
Canada,83,12.0,6.916666666666667
Croatia,88,20.0,4.4
Croatia,88,27.0,3.259259259259259
Canada,92,32.0,2.875
Canada,91,38.0,2.3947368421052633
Canada,87,24.0,3.625
Canada,90,23.0,3.9130434782608696
Canada,91,80.0,1.1375
Canada,89,20.0,4.45
Canada,87,49.0,1.7755102040816326
Canada,88,20.0,4.4
Canada,92,20.0,4.6
Canada,92,25.0,3.68
Canada,87,16.0,5.4375
Canada,87,28.0,3.107142857142857
Canada,92,30.0,3.066666666666667
Canada,92,35.0,2.6285714285714286
Canada,94,60.0,1.5666666666666667
Canada,87,20.0,4.35
Canada,92,70.0,1.3142857142857143
Canada,92,77.0,1.1948051948051948
Croatia,88,24.0,3.6666666666666665
Croatia,83,21.0,3.9523809523809526
Canada,91,60.0,1.5166666666666666
Croatia,88,19.0,4.631578947368421
Canada,84,28.0,3.0
Canada,92,60.0,1.5333333333333334
Canada,92,65.0,1.4153846153846155
Canada,91,35.0,2.6
Canada,90,70.0,1.2857142857142858
Canada,90,70.0,1.2857142857142858
Canada,90,20.0,4.5
Canada,90,30.0,3.0
Canada,90,20.0,4.5
Canada,90,50.0,1.8
Canada,88,25.0,3.52
Canada,91,120.0,0.7583333333333333
Canada,91,50.0,1.82
Croatia,88,27.0,3.259259259259259
Croatia,87,16.0,5.4375
Canada,90,34.0,2.6470588235294117
Canada,91,32.0,2.84375
Canada,82,22.0,3.727272727272727
Croatia,90,41.0,2.1951219512195124
Canada,91,36.0,2.5277777777777777
Canada,88,15.0,5.866666666666666
Canada,90,23.0,3.9130434782608696
Croatia,90,17.0,5.294117647058823
Croatia,90,18.0,5.0
Croatia,85,35.0,2.4285714285714284
Croatia,88,20.0,4.4
Canada,92,25.0,3.68
Canada,86,18.0,4.777777777777778
Croatia,87,19.0,4.578947368421052
Croatia,87,13.0,6.6923076923076925
Croatia,87,13.0,6.6923076923076925
Croatia,89,28.0,3.1785714285714284
Canada,88,25.0,3.52
Canada,89,35.0,2.5428571428571427
Croatia,87,20.0,4.35
Canada,89,35.0,2.5428571428571427
Canada,89,20.0,4.45
Canada,90,30.0,3.0
Canada,86,28.0,3.0714285714285716
Canada,86,45.0,1.9111111111111112
Canada,88,20.0,4.4
Canada,88,24.0,3.6666666666666665
Croatia,89,65.0,1.3692307692307693
Canada,91,20.0,4.55
Canada,91,33.0,2.757575757575758
Canada,85,25.0,3.4
Croatia,87,20.0,4.35
Canada,88,50.0,1.76
Croatia,90,57.0,1.5789473684210527
Croatia,90,21.0,4.285714285714286
Canada,91,35.0,2.6
Croatia,86,25.0,3.44
Croatia,87,24.0,3.625
Canada,89,75.0,1.1866666666666668
Croatia,89,45.0,1.9777777777777779
Croatia,88,19.0,4.631578947368421
Canada,94,40.0,2.35
Canada,88,50.0,1.76
Canada,87,25.0,3.48
Croatia,82,65.0,1.2615384615384615
Canada,86,30.0,2.8666666666666667
Canada,93,45.0,2.066666666666667
Canada,83,18.0,4.611111111111111
Canada,93,25.0,3.72
Canada,93,80.0,1.1625
Croatia,89,20.0,4.45
Canada,90,38.0,2.3684210526315788
Croatia,84,16.0,5.25
Canada,83,18.0,4.611111111111111
Canada,90,19.0,4.7368421052631575
Canada,92,65.0,1.4153846153846155
Canada,92,60.0,1.5333333333333334
Canada,92,85.0,1.0823529411764705
Canada,90,30.0,3.0
Canada,90,25.0,3.6
Canada,94,45.0,2.088888888888889
Canada,89,35.0,2.5428571428571427
Croatia,88,20.0,4.4
Canada,87,28.0,3.107142857142857
Croatia,87,22.0,3.9545454545454546
Canada,84,22.0,3.8181818181818183
Croatia,90,25.0,3.6
Canada,85,18.0,4.722222222222222
Canada,87,33.0,2.6363636363636362
Canada,87,18.0,4.833333333333333
Croatia,87,27.0,3.2222222222222223
Canada,87,40.0,2.175
Canada,91,32.0,2.84375
Canada,90,45.0,2.0
Croatia,89,28.0,3.1785714285714284
Canada,88,12.0,7.333333333333333
Canada,87,17.0,5.117647058823529
Canada,87,30.0,2.9
Canada,88,40.0,2.2
Croatia,84,13.0,6.461538461538462
Croatia,84,13.0,6.461538461538462
Croatia,84,13.0,6.461538461538462
Canada,88,24.0,3.6666666666666665
Croatia,90,38.0,2.3684210526315788
Canada,89,40.0,2.225
Canada,86,23.0,3.739130434782609
Canada,92,25.0,3.68
Canada,92,32.0,2.875
Canada,92,32.0,2.875
Canada,88,32.0,2.75
Canada,88,40.0,2.2
Croatia,87,16.0,5.4375
Canada,89,20.0,4.45
Canada,93,18.0,5.166666666666667
Croatia,84,13.0,6.461538461538462
Canada,88,20.0,4.4
Croatia,88,27.0,3.259259259259259
Canada,89,16.0,5.5625
Canada,89,40.0,2.225
Canada,91,60.0,1.5166666666666666
Croatia,83,19.0,4.368421052631579
Croatia,88,13.0,6.769230769230769
Canada,87,30.0,2.9
Canada,90,26.0,3.4615384615384617
Canada,88,18.0,4.888888888888889
Canada,85,20.0,4.25
Croatia,91,33.0,2.757575757575758
Canada,91,70.0,1.3
Canada,85,50.0,1.7
Croatia,88,25.0,3.52
Canada,91,34.0,2.676470588235294
Canada,91,36.0,2.5277777777777777
Canada,88,45.0,1.9555555555555555
Canada,86,20.0,4.3
Canada,89,30.0,2.966666666666667
Canada,88,16.0,5.5
Canada,88,27.0,3.259259259259259
Croatia,87,25.0,3.48
Canada,91,65.0,1.4
Canada,91,25.0,3.64
Croatia,89,60.0,1.4833333333333334
Croatia,89,20.0,4.45
Canada,90,30.0,3.0
Croatia,89,45.0,1.9777777777777779
Croatia,85,29.0,2.9310344827586206
Canada,87,16.0,5.4375
Canada,87,33.0,2.6363636363636362
Croatia,90,18.0,5.0
Canada,87,32.0,2.71875
Canada,90,19.0,4.7368421052631575
Canada,91,32.0,2.84375
Canada,91,60.0,1.5166666666666666
Canada,91,18.0,5.055555555555555
Canada,91,85.0,1.0705882352941176
Canada,91,40.0,2.275
Croatia,89,25.0,3.56
Canada,88,20.0,4.4
Canada,92,39.0,2.358974358974359
Canada,90,22.0,4.090909090909091
Canada,92,28.0,3.2857142857142856
Canada,92,16.0,5.75
Canada,92,31.0,2.967741935483871
Canada,92,21.0,4.380952380952381
Canada,93,34.0,2.735294117647059
Canada,91,24.0,3.7916666666666665
Croatia,91,57.0,1.5964912280701755
Canada,87,23.0,3.782608695652174
Canada,88,15.0,5.866666666666666
Croatia,88,20.0,4.4
Canada,89,31.0,2.870967741935484
Croatia,88,25.0,3.52
Croatia,88,15.0,5.866666666666666
Canada,90,24.0,3.75
Croatia,88,16.0,5.5
Croatia,88,39.0,2.2564102564102564
Canada,90,24.0,3.75
Canada,90,27.0,3.3333333333333335
Canada,91,40.0,2.275
Canada,90,70.0,1.2857142857142858
Canada,88,32.0,2.75
Canada,86,23.0,3.739130434782609
Canada,90,33.0,2.727272727272727
Canada,90,50.0,1.8
Canada,90,26.0,3.4615384615384617
Canada,89,95.0,0.9368421052631579
Canada,89,20.0,4.45
Canada,89,25.0,3.56
Canada,93,50.0,1.86
Canada,93,90.0,1.0333333333333334
Croatia,87,21.0,4.142857142857143
Canada,90,30.0,3.0
Canada,91,23.0,3.9565217391304346
Canada,88,15.0,5.866666666666666
Canada,91,65.0,1.4
Canada,91,95.0,0.9578947368421052
Canada,89,33.0,2.696969696969697
Canada,84,83.0,1.0120481927710843
Canada,88,25.0,3.52
Canada,88,23.0,3.8260869565217392
Canada,87,30.0,2.9
Canada,87,21.0,4.142857142857143
Canada,87,32.0,2.71875
Canada,87,25.0,3.48
Canada,93,30.0,3.1
Canada,92,77.0,1.1948051948051948
Canada,92,95.0,0.968421052631579
Canada,92,80.0,1.15
Canada,91,65.0,1.4
Canada,88,20.0,4.4
Canada,89,80.0,1.1125
Canada,88,30.0,2.933333333333333
Canada,90,30.0,3.0
Canada,89,30.0,2.966666666666667
Canada,92,32.0,2.875
Canada,82,16.0,5.125
Canada,85,28.0,3.0357142857142856
Canada,85,22.0,3.8636363636363638
Canada,90,15.0,6.0
Croatia,82,16.0,5.125
Croatia,81,18.0,4.5
Canada,91,37.0,2.4594594594594597
Canada,91,17.0,5.352941176470588
Canada,91,20.0,4.55
Canada,87,16.0,5.4375
Canada,87,20.0,4.35
Canada,86,20.0,4.3
Canada,90,15.0,6.0
Canada,92,31.0,2.967741935483871
Canada,91,18.0,5.055555555555555
Canada,91,44.0,2.0681818181818183
Canada,92,18.0,5.111111111111111
Canada,89,40.0,2.225
Canada,93,30.0,3.1
Canada,92,39.0,2.358974358974359
Canada,89,50.0,1.78
Croatia,87,19.0,4.578947368421052
Canada,87,23.0,3.782608695652174
Croatia,88,16.0,5.5
Canada,93,27.0,3.4444444444444446
Canada,88,20.0,4.4
Canada,87,15.0,5.8
Canada,87,13.0,6.6923076923076925
Canada,90,25.0,3.6
Croatia,85,15.0,5.666666666666667
Croatia,85,13.0,6.538461538461538
Canada,91,60.0,1.5166666666666666
Canada,93,49.0,1.8979591836734695
Canada,90,77.0,1.1688311688311688
Canada,87,20.0,4.35
Canada,90,80.0,1.125
Canada,90,31.0,2.903225806451613
Canada,89,22.0,4.045454545454546
Canada,91,45.0,2.022222222222222
Canada,89,41.0,2.1707317073170733
Croatia,84,13.0,6.461538461538462
Canada,86,30.0,2.8666666666666667
Canada,85,50.0,1.7
Canada,84,50.0,1.68
Canada,88,20.0,4.4
Croatia,86,12.0,7.166666666666667
Canada,91,22.0,4.136363636363637
Canada,91,35.0,2.6
Croatia,88,27.0,3.259259259259259
Canada,92,18.0,5.111111111111111
Canada,92,30.0,3.066666666666667
Canada,92,27.0,3.4074074074074074
Canada,89,40.0,2.225
Croatia,91,50.0,1.82
Canada,91,30.0,3.033333333333333
Canada,89,65.0,1.3692307692307693
Canada,89,58.0,1.5344827586206897
Canada,91,45.0,2.022222222222222
Canada,86,40.0,2.15
Canada,90,30.0,3.0
Canada,90,17.0,5.294117647058823
Canada,90,35.0,2.5714285714285716
Canada,88,31.0,2.838709677419355
Croatia,87,20.0,4.35
Croatia,90,38.0,2.3684210526315788
Canada,90,20.0,4.5
Canada,86,23.0,3.739130434782609
Croatia,89,35.0,2.5428571428571427
Canada,89,95.0,0.9368421052631579
Canada,93,34.0,2.735294117647059
Canada,90,19.0,4.7368421052631575
Canada,90,20.0,4.5
Canada,90,30.0,3.0
Canada,91,50.0,1.82
Canada,91,54.0,1.6851851851851851
Canada,91,17.0,5.352941176470588
Canada,88,32.0,2.75
Canada,92,55.0,1.6727272727272726
Canada,87,21.0,4.142857142857143
Canada,92,35.0,2.6285714285714286
Canada,89,40.0,2.225
Canada,89,18.0,4.944444444444445
Canada,93,35.0,2.657142857142857
Canada,93,85.0,1.0941176470588236
Canada,87,20.0,4.35
Canada,87,19.0,4.578947368421052
Canada,88,13.0,6.769230769230769
Canada,88,50.0,1.76
Canada,89,45.0,1.9777777777777779
Canada,90,38.0,2.3684210526315788
